category,brand,product_name,flavor,size,calories,protein_g,carbs_g,fat_g,sugar_g,fiber_g,caffeine_mg,sodium_mg,ingredients,photo_url
energy_drink,Alani Nu,Alani Energy,Cosmic Stardust,12 fl oz can,10,0,3,0,0,0,200,180,"Carbonated Water, Citric Acid, Taurine, Sodium Citrate, L-Theanine, Caffeine, Sucralose, Sodium Benzoate, Potassium Sorbate, L-Carnitine L-Tartrate, Acesulfame Potassium, Panax Ginseng Root Extract, Natural Flavor, Gum Arabic, Niacinamide (Vitamin B3), Inositol",https://zejhjixctddmjmrwhyil.supabase.co/storage/v1/object/public/product-images/catalog-import/alani-nu-alani-energy-cosmic-stardust.webp
energy_drink,Alani Nu,Alani Energy,Blue Slush,12 fl oz can,10,0,3,0,0,0,200,180,"Carbonated Water, Malic Acid, Taurine, Erythritol, Sodium Citrate, Natural Flavors, Citric Acid, L-Theanine, Caffeine, Sucralose, Acesulfame Potassium, Panax Ginseng Root Extract, Potassium Sorbate, Sodium Benzoate, L-Carnitine L-Tartrate, Niacinamide (Vitamin B3), Inositol",https://zejhjixctddmjmrwhyil.supabase.co/storage/v1/object/public/product-images/catalog-import/alani-nu-alani-energy-blue-slush.webp
energy_drink,Alani Nu,Alani Energy,Pink Slush,12 fl oz can,5,0,3,0,0,0,200,180,"Carbonated Water, Citric Acid, Taurine, Sodium Citrate, L-Theanine, Caffeine, Sucralose, Acesulfame Potassium, Sodium Benzoate, Potassium Sorbate, L-Carnitine L-Tartrate, Panax Ginseng Root Extract, Natural Flavor, Gum Arabic, Niacinamide (Vitamin B3), Inositol",https://zejhjixctddmjmrwhyil.supabase.co/storage/v1/object/public/product-images/catalog-import/alani-nu-alani-energy-pink-slush.webp
energy_drink,Alani Nu,Alani Energy,Cherry Slush,12 fl oz can,10,0,3,0,0,0,200,180,"Carbonated Water, Citric Acid, Taurine, Sodium Citrate, L-Theanine, Caffeine, Sucralose, Sodium Benzoate, Potassium Sorbate, L-Carnitine L-Tartrate, Acesulfame Potassium, Panax Ginseng Root Extract, Natural Flavor, Gum Arabic, Niacinamide (Vitamin B3), Inositol",https://zejhjixctddmjmrwhyil.supabase.co/storage/v1/object/public/product-images/catalog-import/alani-nu-alani-energy-cherry-slush.webp
energy_drink,Alani Nu,Alani Energy,Breezeberry,12 fl oz can,10,0,3,0,0,0,200,180,"Carbonated Water, Citric Acid, Taurine, Sodium Citrate, L-Theanine, Caffeine, Sucralose, Sodium Benzoate, Potassium Sorbate, L-Carnitine L-Tartrate, Acesulfame Potassium, Panax Ginseng Root Extract, Natural Flavor, Gum Arabic, Niacinamide (Vitamin B3), Inositol",https://zejhjixctddmjmrwhyil.supabase.co/storage/v1/object/public/product-images/catalog-import/alani-nu-alani-energy-breezeberry.webp
energy_drink,Alani Nu,Alani Energy,Juicy Peach,12 fl oz can,15,0,5,0,0,0,200,190,"Carbonated Water, Citric Acid, Taurine, Sodium Citrate, L-Theanine, Caffeine, Malic Acid, Sucralose, Sodium Benzoate, Gum Arabic, L-Carnitine L-Tartrate, Natural Flavors, Potassium Sorbate, Panax Ginseng Root Extract, Acesulfame Potassium, Glycerol Ester of Wood Rosin, Niacinamide (Vitamin B3)",https://zejhjixctddmjmrwhyil.supabase.co/storage/v1/object/public/product-images/catalog-import/alani-nu-alani-energy-juicy-peach.webp
energy_drink,Alani Nu,Alani Energy,Hawaiian Shaved Ice,12 fl oz can,10,0,3,0,0,0,200,180,"Carbonated Water, Citric Acid, Taurine, Sodium Citrate, L-Theanine, Caffeine, Sucralose, Sodium Benzoate, Potassium Sorbate, L-Carnitine L-Tartrate, Acesulfame Potassium, Panax Ginseng Root Extract, Natural Flavor, Gum Arabic, Niacinamide (Vitamin B3), Inositol",https://zejhjixctddmjmrwhyil.supabase.co/storage/v1/object/public/product-images/catalog-import/alani-nu-alani-energy-hawaiian-shaved-ice.webp
energy_drink,Alani Nu,Alani Energy,Strawberry Sunrise,12 fl oz can,15,0,3,0,0,0,200,200,"Carbonated Water, Citric Acid, Taurine, Sodium Citrate, L-Theanine, Caffeine, Sucralose, Sodium Benzoate, Acesulfame Potassium, L-Carnitine Tartrate, Potassium Sorbate, Panax Ginseng Root Extract, Natural Flavors, Gum Arabic, Niacinamide (Vitamin B3), Inositol",https://zejhjixctddmjmrwhyil.supabase.co/storage/v1/object/public/product-images/catalog-import/alani-nu-alani-energy-strawberry-sunrise.webp
energy_drink,Alani Nu,Alani Energy,Orange Kiss,12 fl oz can,10,0,3,0,0,0,200,180,"Carbonated Water, Citric Acid, Taurine, Sodium Citrate, L-Theanine, Caffeine, Sucralose, Sodium Benzoate, Potassium Sorbate, L-Carnitine L-Tartrate, Acesulfame Potassium, Panax Ginseng Root Extract, Natural Flavor, Gum Arabic, Niacinamide (Vitamin B3), Inositol",https://zejhjixctddmjmrwhyil.supabase.co/storage/v1/object/public/product-images/catalog-import/alani-nu-alani-energy-orange-kiss.webp
energy_drink,Alani Nu,Alani Energy,Cherry Twist,12 fl oz can,15,0,5,0,0,0,200,190,"Carbonated Water, Citric Acid, Taurine, Sodium Citrate, L-Theanine, Caffeine, Malic Acid, Sucralose, Sodium Benzoate, Gum Arabic, L-Carnitine L-Tartrate, Natural Flavors, Vegetable Juice (for Color), Potassium Sorbate, Panax Ginseng Root Extract, Acesulfame Potassium, Niacinamide (Vitamin B3)",https://zejhjixctddmjmrwhyil.supabase.co/storage/v1/object/public/product-images/catalog-import/alani-nu-alani-energy-cherry-twist.webp
